file_id,file_name,is_good
42,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC1/Set4/Set4_Ch1_27022019_131906_featuresN.hdf5,True
43,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC1/Set4/Set4_Ch2_27022019_131906_featuresN.hdf5,True
44,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC1/Set5/Set5_Ch1_27022019_133654_featuresN.hdf5,True
45,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC1/Set5/Set5_Ch2_27022019_133654_featuresN.hdf5,True
46,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC1/Set6/Set6_Ch1_27022019_135612_featuresN.hdf5,True
47,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC1/Set6/Set6_Ch2_27022019_135612_featuresN.hdf5,True
48,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set1/Set1_Ch3_27022019_122231_featuresN.hdf5,True
49,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set1/Set1_Ch4_27022019_122231_featuresN.hdf5,True
50,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set2/Set2_Ch3_27022019_124248_featuresN.hdf5,True
51,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set2/Set2_Ch4_27022019_124248_featuresN.hdf5,True
52,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set3/Set3_Ch3_27022019_130117_featuresN.hdf5,True
53,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set3/Set3_Ch4_27022019_130117_featuresN.hdf5,True
54,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set4/Set4_Ch3_27022019_131917_featuresN.hdf5,True
55,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set4/Set4_Ch4_27022019_131917_featuresN.hdf5,True
56,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set5/Set5_Ch3_27022019_133701_featuresN.hdf5,True
57,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set5/Set5_Ch4_27022019_133701_featuresN.hdf5,True
58,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set6/Set6_Ch3_27022019_135623_featuresN.hdf5,True
59,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC2/Set6/Set6_Ch4_27022019_135623_featuresN.hdf5,True
60,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set1/Set1_Ch5_27022019_122222_featuresN.hdf5,True
61,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set1/Set1_Ch6_27022019_122222_featuresN.hdf5,True
62,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set2/Set2_Ch5_27022019_124301_featuresN.hdf5,True
63,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set2/Set2_Ch6_27022019_124301_featuresN.hdf5,True
64,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set3/Set3_Ch5_27022019_130125_featuresN.hdf5,True
65,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set3/Set3_Ch6_27022019_130125_featuresN.hdf5,True
66,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set4/Set4_Ch5_27022019_131929_featuresN.hdf5,True
67,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set4/Set4_Ch6_27022019_131929_featuresN.hdf5,True
68,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set5/Set5_Ch5_27022019_133710_featuresN.hdf5,True
69,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set5/Set5_Ch6_27022019_133710_featuresN.hdf5,True
70,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set6/Set6_Ch5_27022019_135635_featuresN.hdf5,True
71,/Users/abrown/Andre/projects/_collaborations/2018-Paschalis/Results/20190227/PC3/Set6/Set6_Ch6_27022019_135635_featuresN.hdf5,True
